,Player,Team,Pos.,Positional Value,Overall Value,Current APY,Value Over APY,Injury-Adjusted Value,Injury-Adjusted APY,Injury-Adjusted Value Over APY,2020 Cash Due,Value Over Cash
353,Benardrick McKinney,Texans,ILB,"$5,623,000","$5,694,000","$10,000,000","($4,306,000)","$6,109,442","$9,375,000","($3,265,558)","$6,750,000","($1,056,000)"
354,Joe Flacco,Broncos,QB,"$5,682,000","$5,682,000","$22,133,333","($16,451,333)","$13,680,375","$11,066,667","$2,613,708","$1,500,000","$4,182,000"
355,Mike Iupati,Seahawks,LG,"$5,249,000","$5,681,000","$2,750,000","$2,931,000","$5,249,000","$2,750,000","$2,499,000","$2,500,000","$3,181,000"
356,Ryan Griffin,Jets,TE,"$5,003,000","$5,669,000","$3,183,333","$2,485,667","$6,029,101","$2,586,458","$3,442,643","$3,878,823","$1,790,177"
357,Josh Jacobs,Raiders,RB,"$5,669,000","$5,669,000","$2,983,350","$2,685,650","$7,080,601","$2,423,972","$4,656,629","$1,037,427","$4,631,573"
358,Daniel Brunskill,49ers,RG,"$5,552,000","$5,663,000","$495,000","$5,168,000","$5,552,000","$495,000","$5,057,000","$675,000","$4,988,000"
359,Dawson Knox,Bills,TE,"$5,197,000","$5,651,000","$880,400","$4,770,600","$5,197,000","$880,400","$4,316,600","$705,000","$4,946,000"
360,Noah Fant,Broncos,TE,"$5,651,000","$5,651,000","$3,147,681","$2,503,319","$5,651,000","$3,147,681","$2,503,319","$1,067,306","$4,583,694"
361,Kyle Fuller,Bears,CB,"$5,192,000","$5,650,000","$14,000,000","($8,350,000)","$5,192,000","$14,000,000","($8,808,000)","$13,000,000","($7,350,000)"
362,Jordan Akins,Texans,TE,"$5,106,000","$5,643,000","$830,879","$4,812,121","$5,106,000","$830,879","$4,275,121","$750,000","$4,893,000"
363,Cody Whitehair,Bears,C,"$5,215,000","$5,637,000","$10,250,000","($4,613,000)","$5,215,000","$10,250,000","($5,035,000)","$10,600,000","($4,963,000)"
364,Bobby Massie,Bears,RT,"$5,552,000","$5,636,000","$8,000,000","($2,364,000)","$7,602,656","$5,500,000","$2,102,656","$7,000,000","($1,364,000)"
365,Corey Davis,Titans,WR,"$5,626,000","$5,629,000","$6,348,688","($719,688)","$6,037,708","$5,951,895","$85,813","$4,017,921","$1,611,079"
366,Mike Remmers,Giants,RT,"$5,494,000","$5,621,000","$2,500,000","$3,121,000","$6,261,768","$2,187,500","$4,074,268","$1,187,500","$4,433,500"
367,Germain Ifedi,Seahawks,RT,"$5,165,000","$5,616,000","$2,066,277","$3,549,723","$5,165,000","$2,066,277","$3,098,723","$1,047,500","$4,568,500"
368,Max Scharping,Texans,LG,"$5,161,000","$5,610,000","$1,267,022","$4,342,978","$5,161,000","$1,267,022","$3,893,978","$725,368","$4,884,632"
369,Anthony Miller,Bears,WR,"$5,156,000","$5,609,000","$1,338,425","$4,270,575","$5,156,000","$1,338,425","$3,817,575","$966,700","$4,642,300"
370,Tarell Basham,Jets,34OLB,"$4,434,000","$5,602,000","$808,878","$4,793,122","$4,434,000","$808,878","$3,625,122","$825,000","$4,777,000"
371,Joe Staley,49ers,LT,"$5,505,000","$5,558,000","$14,000,000","($8,442,000)","$10,342,250","$7,000,000","$3,342,250",Free Agent,
372,Eric Fisher,Chiefs,LT,"$5,457,000","$5,552,000","$12,000,000","($6,448,000)","$9,671,389","$6,000,000","$3,671,389","$9,500,000","($3,948,000)"
373,Denzel Ward,Browns,CB,"$5,148,000","$5,551,000","$7,291,339","($1,740,339)","$7,313,731","$5,468,504","$1,845,227","$3,221,396","$2,329,604"
374,Kolton Miller,Raiders,LT,"$5,379,000","$5,545,000","$3,367,827","$2,177,173","$5,379,000","$3,367,827","$2,011,173","$1,704,664","$3,840,336"
375,Johnathan Hankins,Raiders,43DT,"$5,073,000","$5,543,000","$4,250,000","$1,293,000","$5,073,000","$4,250,000","$823,000","$4,250,000","$1,293,000"
376,Nick Gates,Giants,G,"$5,111,000","$5,533,000","$571,667","$4,961,333","$5,111,000","$571,667","$4,539,333","$675,000","$4,858,000"
377,Tre Flowers,Seahawks,CB,"$5,010,000","$5,507,000","$689,681","$4,817,319","$5,498,754","$646,576","$4,852,178","$750,000","$4,757,000"
378,Nigel Bradham,Eagles,ILB,"$5,474,000","$5,500,000","$7,750,000","($2,250,000)","$7,473,635","$5,812,500","$1,661,135",Free Agent,
379,Josh Hill,Saints,TE,"$4,734,000","$5,485,000","$2,950,000","$2,535,000","$4,734,000","$2,950,000","$1,784,000","$2,095,000","$3,390,000"
380,Morgan Moses,Redskins,RT,"$5,372,000","$5,483,000","$8,000,000","($2,517,000)","$5,372,000","$8,000,000","($2,628,000)","$6,750,000","($1,267,000)"
381,Jonnu Smith,Titans,TE,"$5,264,000","$5,436,000","$793,978","$4,642,022","$5,264,000","$793,978","$4,470,022","$2,133,000","$3,303,000"
382,Irv Smith Jr.,Vikings,TE,"$4,805,000","$5,424,000","$1,449,611","$3,974,389","$4,805,000","$1,449,611","$3,355,389","$758,566","$4,665,434"
383,Jerome Baker,Dolphins,ILB,"$4,758,000","$5,412,000","$952,300","$4,459,700","$4,758,000","$952,300","$3,805,700","$810,000","$4,602,000"
384,Sammy Watkins,Chiefs,WR,"$5,397,000","$5,397,000","$16,000,000","($10,603,000)","$6,403,740","$14,000,000","($7,596,260)","$9,000,000","($3,603,000)"
385,Breshad Perriman,Buccaneers,WR,"$5,381,000","$5,384,000","$4,000,000","$1,384,000","$6,320,223","$3,500,000","$2,820,223","$6,500,000","($1,116,000)"
386,Grover Stewart,Colts,43DT,"$4,701,000","$5,381,000","$633,587","$4,747,413","$4,701,000","$633,587","$4,067,413","$2,133,000","$3,248,000"
387,Jason Pierre-Paul,Buccaneers,43DE,"$5,375,000","$5,375,000","$5,000,000","$375,000","$9,722,713","$3,125,000","$6,597,713","$12,500,000","($7,125,000)"
388,Quandre Diggs,Seahawks,S,"$5,364,000","$5,372,000","$6,200,000","($828,000)","$7,656,406","$4,262,500","$3,393,906","$5,200,000","$172,000"
389,David Montgomery,Bears,RB,"$5,366,000","$5,371,000","$1,003,845","$4,367,155","$5,366,000","$1,003,845","$4,362,155","$684,136","$4,686,864"
390,Devonta Freeman,Falcons,RB,"$5,370,000","$5,370,000","$8,250,000","($2,880,000)","$6,199,464","$7,218,750","($1,019,286)",Free Agent,
391,Erik Harris,Raiders,S,"$4,410,000","$5,361,000","$2,500,000","$2,861,000","$4,410,000","$2,500,000","$1,910,000","$2,500,000","$2,861,000"
392,Brandin Cooks,Rams,WR,"$5,353,000","$5,356,000","$16,200,000","($10,844,000)","$5,353,000","$16,200,000","($10,847,000)","$8,000,000","($2,644,000)"
393,Devin Bush,Steelers,ILB,"$5,206,000","$5,356,000","$4,717,942","$638,058","$5,206,000","$4,717,942","$488,058","$1,352,808","$4,003,192"
394,Brandon Carr,Ravens,CB,"$5,321,000","$5,334,000","$6,000,000","($666,000)","$5,321,000","$6,000,000","($679,000)",Free Agent,
395,Trey Hopkins,Bengals,C,"$4,872,000","$5,292,000","$6,800,000","($1,508,000)","$4,872,000","$6,800,000","($1,928,000)","$4,450,000","$842,000"
396,Nick Kwiatkoski,Bears,ILB,"$3,706,000","$5,288,000","$728,780","$4,559,220","$3,706,000","$728,780","$2,977,220","$7,000,000","($1,712,000)"
397,Darnell Savage Jr.,Packers,S,"$4,761,000","$5,275,000","$3,129,422","$2,145,578","$5,554,492","$2,738,244","$2,816,248","$1,063,986","$4,211,014"
398,Devin White,Buccaneers,ILB,"$4,822,000","$5,269,000","$7,328,954","($2,059,954)","$5,712,634","$6,412,835","($700,201)","$1,917,537","$3,351,463"
399,J.J. Watt,Texans,34DE,"$5,225,000","$5,262,000","$16,666,667","($11,404,667)","$12,144,563","$8,333,334","$3,811,229","$15,500,000","($10,238,000)"
400,James White,Patriots,RB,"$5,097,000","$5,232,000","$4,000,000","$1,232,000","$5,097,000","$4,000,000","$1,097,000","$3,500,000","$1,732,000"
401,Bashaud Breeland,Chiefs,CB,"$5,222,000","$5,227,000","$2,000,000","$3,227,000","$5,222,000","$2,000,000","$3,222,000","$3,000,000","$2,227,000"
402,Jimmy Graham,Packers,TE,"$5,215,000","$5,223,000","$10,000,000","($4,777,000)","$5,215,000","$10,000,000","($4,785,000)","$9,000,000","($3,777,000)"
403,Nate Solder,Giants,LT,"$5,069,000","$5,217,000","$15,500,000","($10,283,000)","$5,069,000","$15,500,000","($10,431,000)","$13,000,000","($7,783,000)"
404,Carl Nassib,Buccaneers,34OLB,"$5,109,000","$5,215,000","$899,716","$4,315,284","$6,136,152","$787,252","$5,348,900","$7,500,000","($2,285,000)"
405,Rodney Gunter,Cardinals,34DE,"$5,046,000","$5,210,000","$1,750,000","$3,460,000","$6,350,106","$1,421,875","$4,928,231","$6,500,000","($1,290,000)"
406,Jacob Hollister,Seahawks,TE,"$4,401,000","$5,193,000","$645,000","$4,548,000","$4,401,000","$645,000","$3,756,000","$3,259,000","$1,934,000"
407,Budda Baker,Cardinals,S,"$4,756,000","$5,188,000","$1,707,493","$3,480,507","$4,756,000","$1,707,493","$3,048,507","$1,396,359","$3,791,641"
408,Brandon Shell,Jets,RT,"$4,767,000","$5,186,000","$643,992","$4,542,008","$4,767,000","$643,992","$4,123,008","$5,500,000","($314,000)"
409,Kaleb McGary,Falcons,RT,"$4,738,000","$5,180,000","$2,566,436","$2,613,564","$4,738,000","$2,566,436","$2,171,564","$961,625","$4,218,375"
410,Ty Nsekhe,Bills,RT,"$5,041,000","$5,136,000","$5,000,000","$136,000","$6,385,600","$3,125,000","$3,260,600","$3,700,000","$1,436,000"
411,Montae Nicholson,Redskins,S,"$5,079,000","$5,126,000","$754,723","$4,371,277","$6,267,101","$613,212","$5,653,889",Free Agent,
412,Maurice Hurst,Raiders,43DT,"$4,643,000","$5,115,000","$694,761","$4,420,239","$4,643,000","$694,761","$3,948,239","$750,000","$4,365,000"
413,James Washington,Steelers,WR,"$5,022,000","$5,099,000","$1,125,337","$3,973,663","$5,408,563","$1,055,003","$4,353,560","$889,214","$4,209,786"
414,Eli Apple,Saints,CB,"$5,059,000","$5,093,000","$3,788,080","$1,304,920","$5,538,633","$3,551,325","$1,987,308",Free Agent,
415,Anthony Walker Jr.,Colts,ILB,"$4,454,000","$5,089,000","$666,357","$4,422,643","$4,454,000","$666,357","$3,787,643","$2,133,000","$2,956,000"
416,Tyler Eifert,Bengals,TE,"$5,079,000","$5,084,000","$4,000,000","$1,084,000","$5,079,000","$4,000,000","$1,079,000","$4,500,000","$584,000"
417,Eric Weddle,Rams,S,"$5,059,000","$5,064,000","$5,251,025","($187,025)","$5,059,000","$5,251,025","($192,025)",Free Agent,
418,Golden Tate,Giants,WR,"$4,978,000","$5,062,000","$9,375,000","($4,313,000)","$5,613,949","$8,789,063","($3,175,114)","$8,000,000","($2,938,000)"
419,Maxx Williams,Cardinals,TE,"$4,007,000","$5,054,000","$2,333,333","$2,720,667","$4,007,000","$2,333,333","$1,673,667","$3,150,000","$1,904,000"
420,Daryl Worley,Raiders,CB,"$4,530,000","$5,033,000","$3,095,000","$1,938,000","$4,980,079","$2,901,563","$2,078,516","$3,000,000","$2,033,000"
421,Lawrence Guy,Patriots,43DT,"$4,332,000","$5,016,000","$3,600,000","$1,416,000","$4,332,000","$3,600,000","$732,000","$3,600,000","$1,416,000"
